JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
141664444,1,15410,0.010856,0.011064,54746.841064,RAL-LCG2,MCSimulation
141727344,1,80482,0.012915,0.012925,54753.082925,FR-GRIF,MCSimulation
141657770,1,9161,0.010856,0.011064,54748.281064,FR-IN2P3-LAPP,MCSimulation
141693752,1,44245,0.011118,0.011128,54752.801128,RAL-LCG2,MCSimulation
141687855,1,39087,0.011096,0.011107,54753.171107,FR-GRIF,MCSimulation
141703179,1,53388,0.011161,0.011172,54758.091172,CH-CHIPP-CSCS,MCSimulation
141705058,1,55696,0.011161,0.011172,54760.831172,UK-NorthGrid,MCSimulation
141687992,1,39117,0.011096,0.011107,54756.771107,IN2P3-CC,MCSimulation
141715894,1,68361,0.012795,0.012904,54760.702904,FR-GRIF,MCSimulation
141685775,1,36735,0.011096,0.011107,54759.961107,CH-CHIPP-CSCS,MCSimulation
141705149,1,55714,0.011161,0.011172,54762.951172,NIKHEF-ELPROD,MCSimulation
141713912,1,65826,0.012146,0.012254,54770.162254,RAL-LCG2,MCSimulation
141697862,1,48561,0.011118,0.011128,54773.931128,FR-GRIF,MCSimulation
141686888,1,38467,0.011096,0.011107,54778.111107,PL-TIER2-WLCG,MCSimulation
141705470,1,56023,0.011280,0.011388,54784.081388,CERN-PROD,MCSimulation
141665204,1,15763,0.010856,0.011064,54784.841064,IN2P3-CC,MCSimulation
141733102,1,86073,0.012936,0.012947,54785.612947,UK-NorthGrid,MCSimulation
141715187,1,67745,0.012795,0.012904,54792.272904,FZK-LCG2,MCSimulation
141673756,1,23317,0.010856,0.011064,54797.541064,UK-NorthGrid,MCSimulation
141673904,1,23598,0.010856,0.011064,54799.271064,CERN-PROD,MCSimulation
141712057,1,63476,0.011929,0.012038,54805.842038,IN2P3-CC,MCSimulation
141664750,1,15517,0.010856,0.011064,54812.021064,UK-NorthGrid,MCSimulation
141650249,1,4066,0.010541,0.010649,54815.900649,IN2P3-CC,MCSimulation
141685452,1,36553,0.011096,0.011107,54818.401107,CH-CHIPP-CSCS,MCSimulation
141728489,1,81309,0.012915,0.012925,54816.232925,UK-SouthGrid,MCSimulation
141715928,1,68373,0.012795,0.012904,54820.552904,NRC-KI-T1,MCSimulation
141727781,1,81039,0.012915,0.012925,54825.132925,FR-GRIF,MCSimulation
141691859,1,42986,0.011118,0.011128,54824.981128,UK-London-Tier2,MCSimulation
141711534,1,62963,0.011929,0.012038,54829.172038,UK-SouthGrid,MCSimulation
141721210,1,73728,0.012915,0.012925,54833.882925,UK-SouthGrid,MCSimulation
141689698,1,41039,0.011096,0.011107,54842.611107,UK-NorthGrid,MCSimulation
141653663,1,6422,0.010856,0.011064,54849.971064,RAL-LCG2,MCSimulation
141700990,1,51070,0.011139,0.011150,54860.861150,CH-CHIPP-CSCS,MCSimulation
141648704,1,1853,0.010108,0.010216,54863.800216,PL-TIER2-WLCG,MCSimulation
141721395,1,73827,0.012915,0.012925,54843.512925,RAL-LCG2,MCReconstruction
141681562,1,32202,0.011074,0.011085,54869.421085,UK-NorthGrid,MCSimulation
141696162,1,46445,0.011118,0.011128,54875.061128,FR-GRIF,MCSimulation
141660378,1,11427,0.010856,0.011064,54879.031064,IN2P3-CC,MCSimulation
141716150,1,68543,0.012795,0.012904,54876.282904,RAL-LCG2,MCSimulation
141672752,1,22815,0.010856,0.011064,54876.251064,UK-SouthGrid,MCSimulation
141678051,1,28174,0.010856,0.011064,54877.581064,CH-CHIPP-CSCS,MCSimulation
141693087,1,43885,0.011118,0.011128,54880.881128,CERN-PROD,MCSimulation
141673789,1,23325,0.010856,0.011064,54881.401064,NRC-KI-T1,MCSimulation
141693080,1,43884,0.011118,0.011128,54881.331128,RAL-LCG2,MCSimulation
141710385,1,61074,0.011713,0.011821,54883.651821,UK-London-Tier2,MCSimulation
141688291,1,39425,0.011096,0.011107,54888.251107,UK-NorthGrid,MCSimulation
141655375,1,7412,0.010856,0.011064,54894.091064,CH-CHIPP-CSCS,MCSimulation
141648802,1,1927,0.010108,0.010216,54893.670216,IN2P3-CC,MCSimulation
141673955,1,23616,0.010856,0.011064,54897.811064,PL-TIER2-WLCG,MCSimulation
141723648,1,76272,0.012915,0.012925,54901.032925,RO-LCG,MCSimulation
141656226,1,8553,0.010856,0.011064,54902.081064,CH-CHIPP-CSCS,MCSimulation
141705137,1,55712,0.011161,0.011172,54905.221172,UK-London-Tier2,MCSimulation
141716342,1,68669,0.012795,0.012904,54890.112904,FZK-LCG2,MCReconstruction
141733105,1,86075,0.012936,0.012947,54906.202947,pic,MCSimulation
141700549,1,51008,0.011139,0.011150,54917.051150,FZK-LCG2,MCSimulation
141664654,1,15505,0.010856,0.011064,54922.251064,PL-TIER2-WLCG,MCSimulation
141727212,1,80457,0.012915,0.012925,54921.762925,UK-SouthGrid,MCSimulation
141676988,1,27378,0.010856,0.011064,54919.941064,RAL-LCG2,MCSimulation
141712070,1,63481,0.011929,0.012038,54922.022038,RAL-LCG2,MCSimulation
141705035,1,55694,0.011161,0.011172,54927.641172,UK-London-Tier2,MCSimulation
141732035,1,84937,0.012915,0.012925,54927.832925,INFN-T1,MCSimulation
141658124,1,9704,0.010856,0.011064,54930.891064,FR-GRIF,MCSimulation
141723200,1,76050,0.012915,0.012925,54928.252925,CH-CHIPP-CSCS,MCSimulation
141726850,1,80038,0.012915,0.012925,54941.122925,RAL-LCG2,MCSimulation
141733308,1,86186,0.012936,0.012947,54945.582947,UK-London-Tier2,MCSimulation
141727804,1,81043,0.012915,0.012925,54954.682925,FZK-LCG2,MCSimulation
141665289,1,15780,0.010856,0.011064,54956.911064,CH-CHIPP-CSCS,MCSimulation
141725781,1,78769,0.012915,0.012925,54954.112925,IN2P3-CC,MCSimulation
141689920,1,41167,0.011096,0.011107,54953.991107,IN2P3-CC,MCSimulation
141716165,1,68548,0.012795,0.012904,54953.762904,FZK-LCG2,MCSimulation
141700661,1,51015,0.011139,0.011150,54965.761150,RAL-LCG2,MCSimulation
141653649,1,6420,0.010856,0.011064,54969.701064,RAL-LCG2,MCSimulation
141707549,1,58208,0.011280,0.011388,54970.531388,UK-London-Tier2,MCSimulation
141716391,1,68675,0.012795,0.012904,54972.382904,FZK-LCG2,MCSimulation
141672609,1,22790,0.010856,0.011064,54973.721064,FZK-LCG2,MCSimulation
141711142,1,62837,0.011929,0.012038,54980.772038,DE-DESY-RWTH-CMS-T2,MCSimulation
141700937,1,51043,0.011139,0.011150,54987.151150,CH-CHIPP-CSCS,MCSimulation
141707824,1,58465,0.011280,0.011388,54985.201388,IN2P3-CC,MCSimulation
141682184,1,33171,0.011074,0.011085,54993.941085,UK-NorthGrid,MCSimulation
141726713,1,80011,0.012915,0.012925,54996.262925,INFN-T1,MCSimulation
141691611,1,42672,0.011118,0.011128,54999.031128,UK-London-Tier2,MCSimulation
141709999,1,60855,0.011713,0.011821,55009.191821,FR-GRIF,MCSimulation
141680672,1,31676,0.011074,0.011085,55005.951085,CERN-PROD,MCSimulation
141725760,1,78761,0.012915,0.012925,55009.142925,IN2P3-CC,MCSimulation
141660537,1,11642,0.010856,0.011064,55014.511064,IT-INFN-T2,MCSimulation
141685074,1,36270,0.011096,0.011107,55015.301107,FZK-LCG2,MCSimulation
141687858,1,39088,0.011096,0.011107,55017.931107,FZK-LCG2,MCSimulation
141715922,1,68370,0.012795,0.012904,55025.142904,FR-IN2P3-LAPP,MCSimulation
141695808,1,46418,0.011118,0.011128,55033.251128,RAL-LCG2,MCSimulation
141699187,1,48833,0.011139,0.011150,55036.781150,PL-TIER2-WLCG,MCSimulation
141733255,1,86171,0.012936,0.012947,55036.672947,CH-CHIPP-CSCS,MCSimulation
141702714,1,53313,0.011161,0.011172,55041.201172,FR-IN2P3-LAPP,MCSimulation
141683504,1,34392,0.011074,0.011085,55043.311085,INFN-T1,MCSimulation
141709882,1,60785,0.011713,0.011821,55043.521821,FR-GRIF,MCSimulation
141728098,1,81174,0.012915,0.012925,55049.572925,IN2P3-CC,MCSimulation
141725120,1,78493,0.012915,0.012925,55049.402925,UK-NorthGrid,MCSimulation
141662749,1,13521,0.010856,0.011064,55061.421064,UK-NorthGrid,MCSimulation
141703020,1,53370,0.011161,0.011172,55074.321172,IN2P3-CC,MCSimulation
141667765,1,18054,0.010856,0.011064,55073.711064,IN2P3-CC,MCSimulation
141728078,1,81168,0.012915,0.012925,55075.212925,RU-RDIG,MCSimulation
141700597,1,51011,0.011139,0.011150,55077.011150,UK-SouthGrid,MCSimulation
141714186,1,66002,0.012579,0.012687,55076.552687,FZK-LCG2,MCSimulation
141715911,1,68367,0.012795,0.012904,55085.222904,NRC-KI-T1,MCSimulation
141730885,1,83688,0.012915,0.012925,55090.252925,RAL-LCG2,MCSimulation
141710192,1,60972,0.011713,0.011821,55096.521821,FR-IN2P3-CPPM,MCSimulation
141675318,1,25216,0.010856,0.011064,55100.461064,UK-London-Tier2,MCSimulation
141653029,1,6134,0.010541,0.010649,55104.020649,CERN-PROD,DataStripping
141697826,1,48551,0.011118,0.011128,55103.041128,UK-ScotGrid,MCSimulation
141653589,1,6407,0.010856,0.011064,55110.461064,T2-LATINAMERICA,MCSimulation
141686948,1,38564,0.011096,0.011107,55111.921107,RAL-LCG2,MCSimulation
141698721,1,48780,0.011118,0.011128,55116.481128,PL-TIER2-WLCG,MCSimulation
141693891,1,44322,0.011118,0.011128,55115.091128,CERN-PROD,DataStripping
141700416,1,50990,0.011139,0.011150,55123.461150,RAL-LCG2,MCSimulation
141727181,1,80453,0.012915,0.012925,55128.602925,RAL-LCG2,MCSimulation
141712080,1,63483,0.011929,0.012038,55131.162038,RAL-LCG2,MCSimulation
141707530,1,58198,0.011280,0.011388,55133.911388,UK-NorthGrid,MCSimulation
141681650,1,32236,0.011074,0.011085,55137.401085,RAL-LCG2,MCSimulation
141715954,1,68383,0.012795,0.012904,55133.722904,IN2P3-CC,MCSimulation
141722166,1,75097,0.012915,0.012925,55138.982925,INFN-T1,MCSimulation
141693649,1,44235,0.011118,0.011128,55143.141128,FR-GRIF,MCSimulation
141700916,1,51038,0.011139,0.011150,55143.701150,UK-ScotGrid,MCSimulation
141684966,1,36248,0.011096,0.011107,55148.181107,NRC-KI-T1,MCSimulation
141652043,1,5123,0.010541,0.010649,55154.510649,CERN-PROD,MCSimulation
141673902,1,23597,0.010856,0.011064,55156.231064,CERN-PROD,MCSimulation
141727946,1,81085,0.012915,0.012925,55156.062925,RU-RDIG,MCSimulation
141732018,1,84931,0.012915,0.012925,55157.182925,FR-GRIF,MCSimulation
141677069,1,27386,0.010856,0.011064,55163.831064,INFN-T1,MCSimulation
141669237,1,19934,0.010856,0.011064,55171.731064,FR-GRIF,MCSimulation
